[2021-11-02 20:54:16] front.INFO [N/A] [b406a69] [N/A] [Eccube\Log\Logger:log:66] - INIT [] [GET, /, 139.99.8.123, NULL, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php) _zbot]
[2021-11-02 20:54:16] front.INFO [N/A] [b406a69] [anon.] [Eccube\Log\Logger:log:66] - PROCESS START ["homepage"] [GET, /, 139.99.8.123, NULL, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php) _zbot]
[2021-11-02 20:54:16] front.INFO [N/A] [b406a69] [anon.] [Eccube\Log\Logger:log:66] - LOGIC START ["homepage"] [GET, /, 139.99.8.123, NULL, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php) _zbot]
[2021-11-02 20:54:16] front.INFO [6om0e5ai015oh4peitqlp49dka] [b406a69] [anon.] [Eccube\Log\Logger:log:66] - LOGIC END ["homepage"] [GET, /, 139.99.8.123, NULL, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php) _zbot]
[2021-11-02 20:54:16] app.INFO [N/A] [b406a69] [anon.] [Eccube\Log\Logger:log:68] - PROCESS END ["homepage"] [GET, /, 139.99.8.123, NULL, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php) _zbot]
[2021-11-02 20:58:23] front.INFO [N/A] [2ba84ae] [N/A] [Eccube\Log\Logger:log:66] - INIT [] [GET, /, 115.77.66.161, NULL, Mozilla/5.0 (Linux; Android 9; SM-N976V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.89 Mobile Safari/537.36 Zalo android/12100553]
[2021-11-02 20:58:23] front.INFO [N/A] [2ba84ae] [anon.] [Eccube\Log\Logger:log:66] - PROCESS START ["homepage"] [GET, /, 115.77.66.161, NULL, Mozilla/5.0 (Linux; Android 9; SM-N976V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.89 Mobile Safari/537.36 Zalo android/12100553]
[2021-11-02 20:58:23] front.INFO [N/A] [2ba84ae] [anon.] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /, 115.77.66.161, NULL, Mozilla/5.0 (Linux; Android 9; SM-N976V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.89 Mobile Safari/537.36 Zalo android/12100553]
[2021-11-02 20:58:23] front.INFO [N/A] [2ba84ae] [anon.] [Eccube\Log\Logger:log:66] - LOGIC START ["homepage"] [GET, /, 115.77.66.161, NULL, Mozilla/5.0 (Linux; Android 9; SM-N976V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.89 Mobile Safari/537.36 Zalo android/12100553]
[2021-11-02 20:58:23] front.INFO [mtvuhskuighmk3e8akfvqh55e4] [2ba84ae] [anon.] [Eccube\Log\Logger:log:66] - LOGIC END ["homepage"] [GET, /, 115.77.66.161, NULL, Mozilla/5.0 (Linux; Android 9; SM-N976V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.89 Mobile Safari/537.36 Zalo android/12100553]
[2021-11-02 20:58:23] app.INFO [N/A] [2ba84ae] [anon.] [Eccube\Log\Logger:log:68] - PROCESS END ["homepage"] [GET, /, 115.77.66.161, NULL, Mozilla/5.0 (Linux; Android 9; SM-N976V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.89 Mobile Safari/537.36 Zalo android/12100553]
[2021-11-02 21:47:15] front.INFO [N/A] [d423b42] [N/A] [Eccube\Log\Logger:log:66] - INIT [] [GET, /products/detail/12, 171.253.2.81, NULL, Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/95.0.4638.50 Mobile/15E148 Safari/604.1]
[2021-11-02 21:47:15] front.INFO [N/A] [d423b42] [anon.] [Eccube\Log\Logger:log:66] - PROCESS START ["product_detail"] [GET, /products/detail/12, 171.253.2.81, NULL, Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/95.0.4638.50 Mobile/15E148 Safari/604.1]
